attack_name,attack_param,image_file,accuracy,ber
crop,0.8,0121.png,0.53515625,0.46484375
crop,0.8,0122.png,0.5546875,0.4453125
crop,0.8,0123.png,0.5,0.5
crop,0.8,0124.png,0.5,0.5
crop,0.8,0125.png,0.58984375,0.41015625
crop,0.8,0126.png,0.55859375,0.44140625
crop,0.8,0127.png,0.50390625,0.49609375
crop,0.8,0128.png,0.48046875,0.51953125
crop,0.8,0129.png,0.52734375,0.47265625
crop,0.8,0130.png,0.4921875,0.5078125
crop,0.8,0131.png,0.5546875,0.4453125
crop,0.8,0132.png,0.46875,0.53125
crop,0.8,0133.png,0.546875,0.453125
crop,0.8,0134.png,0.515625,0.484375
crop,0.8,0135.png,0.54296875,0.45703125
crop,0.8,0136.png,0.5390625,0.4609375
crop,0.8,0137.png,0.53125,0.46875
crop,0.8,0138.png,0.46875,0.53125
crop,0.8,0139.png,0.53515625,0.46484375
crop,0.8,0140.png,0.5390625,0.4609375
crop,0.8,0141.png,0.53125,0.46875
crop,0.8,0142.png,0.51171875,0.48828125
crop,0.8,0143.png,0.484375,0.515625
crop,0.8,0144.png,0.56640625,0.43359375
crop,0.8,0145.png,0.55859375,0.44140625
crop,0.8,0146.png,0.54296875,0.45703125
crop,0.8,0147.png,0.53125,0.46875
crop,0.8,0148.png,0.57421875,0.42578125
crop,0.8,0149.png,0.4921875,0.5078125
crop,0.8,0150.png,0.56640625,0.43359375
crop,0.8,0151.png,0.52734375,0.47265625
crop,0.8,0152.png,0.51171875,0.48828125
crop,0.8,0153.png,0.53515625,0.46484375
crop,0.8,0154.png,0.44140625,0.55859375
crop,0.8,0155.png,0.50390625,0.49609375
crop,0.8,0156.png,0.49609375,0.50390625
crop,0.8,0157.png,0.4921875,0.5078125
crop,0.8,0158.png,0.47265625,0.52734375
crop,0.8,0159.png,0.50390625,0.49609375
crop,0.8,0160.png,0.47265625,0.52734375
crop,0.8,0161.png,0.5,0.5
crop,0.8,0162.png,0.48046875,0.51953125
crop,0.8,0163.png,0.515625,0.484375
crop,0.8,0164.png,0.48046875,0.51953125
crop,0.8,0165.png,0.55078125,0.44921875
crop,0.8,0166.png,0.5234375,0.4765625
crop,0.8,0167.png,0.60546875,0.39453125
crop,0.8,0168.png,0.51171875,0.48828125
crop,0.8,0169.png,0.5078125,0.4921875
crop,0.8,0170.png,0.44140625,0.55859375
crop,0.8,0171.png,0.47265625,0.52734375
crop,0.8,0172.png,0.55078125,0.44921875
crop,0.8,0173.png,0.55078125,0.44921875
crop,0.8,0174.png,0.515625,0.484375
crop,0.8,0175.png,0.46875,0.53125
crop,0.8,0176.png,0.5390625,0.4609375
crop,0.8,0177.png,0.5078125,0.4921875
crop,0.8,0178.png,0.50390625,0.49609375
crop,0.8,0179.png,0.4765625,0.5234375
crop,0.8,0180.png,0.5703125,0.4296875
crop,0.8,0181.png,0.52734375,0.47265625
crop,0.8,0182.png,0.44921875,0.55078125
crop,0.8,0183.png,0.46484375,0.53515625
crop,0.8,0184.png,0.484375,0.515625
crop,0.8,0185.png,0.4921875,0.5078125
crop,0.8,0186.png,0.5625,0.4375
crop,0.8,0187.png,0.46484375,0.53515625
crop,0.8,0188.png,0.52734375,0.47265625
crop,0.8,0189.png,0.48828125,0.51171875
crop,0.8,0190.png,0.4921875,0.5078125
crop,0.8,0191.png,0.5625,0.4375
crop,0.8,0192.png,0.51953125,0.48046875
crop,0.8,0193.png,0.53515625,0.46484375
crop,0.8,0194.png,0.55078125,0.44921875
crop,0.8,0195.png,0.5234375,0.4765625
crop,0.8,0196.png,0.453125,0.546875
crop,0.8,0197.png,0.5078125,0.4921875
crop,0.8,0198.png,0.5,0.5
crop,0.8,0199.png,0.5546875,0.4453125
gaussian_blur,2,0000.png,1.0,0.0
gaussian_blur,2,0001.png,1.0,0.0
gaussian_blur,2,0002.png,1.0,0.0
gaussian_blur,2,0003.png,1.0,0.0
gaussian_blur,2,0004.png,1.0,0.0
gaussian_blur,2,0005.png,1.0,0.0
gaussian_blur,2,0006.png,1.0,0.0
gaussian_blur,2,0007.png,1.0,0.0
gaussian_blur,2,0008.png,1.0,0.0
gaussian_blur,2,0009.png,1.0,0.0
gaussian_blur,2,0010.png,1.0,0.0
gaussian_blur,2,0011.png,1.0,0.0
gaussian_blur,2,0012.png,1.0,0.0
gaussian_blur,2,0013.png,1.0,0.0
gaussian_blur,2,0014.png,1.0,0.0
gaussian_blur,2,0015.png,1.0,0.0
gaussian_blur,2,0016.png,1.0,0.0
gaussian_blur,2,0017.png,1.0,0.0
gaussian_blur,2,0018.png,1.0,0.0
gaussian_blur,2,0019.png,1.0,0.0
gaussian_blur,2,0020.png,1.0,0.0
gaussian_blur,2,0021.png,1.0,0.0
gaussian_blur,2,0022.png,1.0,0.0
gaussian_blur,2,0023.png,1.0,0.0
gaussian_blur,2,0024.png,0.98828125,0.01171875
gaussian_blur,2,0025.png,1.0,0.0
gaussian_blur,2,0026.png,1.0,0.0
gaussian_blur,2,0027.png,1.0,0.0
gaussian_blur,2,0028.png,1.0,0.0
gaussian_blur,2,0029.png,1.0,0.0
gaussian_blur,2,0030.png,0.80078125,0.19921875
